id,climate,energy,environment,resources,sustainability,dedicated,total
Premier cycle ingénieur,0,0,0,0,0,0,0
Performance numérique industrielle,0,0,0,0,0,0,0
Génie énergétique (parcours EP),0,2,0,1,0,1,3
Performance en innovation et sécurité des procédés,0,0,0,0,0,0,0
Performance énergétique,0,0,0,0,0,0,0
Performance industrielle et innovation,0,0,0,0,0,0,0
Mathématiques appliquées,0,0,0,0,0,0,0
Mécanique,0,0,0,0,2,0,2
Informatique et technologie de l'information,0,0,0,0,0,0,0
Génie civil et urbain,2,0,1,0,2,2,3
Chimie et génie chimique,0,0,5,0,0,5,5
Génie des procédés et gestion des risques,2,0,1,0,3,2,4
